AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
999,335797622,166481096,169316526,125973556,126402811,22141444,23815668,2261327,2210631,10448736,11204333,458850,444529,5197183,5238554,130619969,131062220,24555740,26292531,3709410,3712670,12395419,13129817,910472,896858,133417213,137117900,97241641,98476441,20431256,22069422,1205169,1232710,10096767,10855280,329450,322992,4112930,4161055,100921237,102178159,22324731,24020814,2213689,2299710,11741453,12480159,677956,673401,33063883,32198626,28731915,27926370,1710188,1746246,1056158,977921,351969,349053,129400,121537,1084253,1077499,29698732,28884061,2231009,2271717,1495721,1412960,653966,649658,232516,223457
0,3684457,1883426,1801031,1289137,1229519,314030,304669,34276,32993,113033,106175,7059,6565,125891,121110,1404926,1340886,383735,371858,57747,55662,159528,150738,15690,14791,1375469,1311015,876905,831908,276132,268013,12867,12325,105297,98694,4198,3889,100070,96186,969469,920854,332357,322174,27725,26666,143759,135530,10468,9865,507957,490016,412232,397611,37898,36656,21409,20668,7736,7481,2861,2676,25821,24924,435457,420032,51378,49684,30022,28996,15769,15208,5222,4926
1,3702818,1892655,1810163,1293377,1233532,314930,305909,34461,33214,116481,109341,7184,6639,126222,121528,1409460,1345269,384732,373223,57981,55947,163198,154176,15831,14889,1380679,1316314,877766,832693,276788,269038,12865,12329,108700,101825,4284,3946,100276,96483,970504,921895,333034,323255,27720,26680,147369,138919,10566,9942,511976,493849,415611,400839,38142,36871,21596,20885,7781,7516,2900,2693,25946,25045,438956,423374,51698,49968,30261,29267,15829,15257,5265,4947
2,3671251,1876611,1794640,1280870,1221286,311732,302861,34170,32963,117686,110600,7142,6611,125011,120319,1395833,1331906,380792,369424,57448,55443,164041,155084,15701,14785,1369191,1305291,868967,824134,273952,266320,12709,12176,109983,103164,4273,3942,99307,95555,960798,912468,329564,319934,27397,26358,148393,140013,10498,9887,507420,489349,411903,397152,37780,36541,21461,20787,7703,7436,2869,2669,25704,24764,435035,419438,51228,49490,30051,29085,15648,15071,5203,4898
3,3665591,1873955,1791636,1285870,1226561,304900,295462,34740,33248,116653,110126,7038,6609,124754,119630,1400574,1336540,373926,361751,57938,55545,162897,154364,15604,14764,1370989,1307887,877544,833737,268118,259818,13001,12523,108937,102713,4277,3967,99112,95129,969184,921679,323686,313255,27635,26609,147265,139399,10503,9898,502966,483749,408326,392824,36782,35644,21739,20725,7716,7413,2761,2642,25642,24501,431390,414861,50240,48496,30303,28936,15632,14965,5101,4866
4,3744963,1913380,1831583,1324951,1264904,301366,293888,35533,34139,120226,113116,7252,6809,124052,118727,1438865,1373914,369776,359566,58713,56433,166462,157136,15907,14994,1414554,1349689,919071,872329,265902,259500,13876,13464,112433,105703,4477,4192,98795,94501,1010300,959571,321018,312430,28590,27624,150891,142275,10797,10156,498826,481894,405880,392575,35464,34388,21657,20675,7793,7413,2775,2617,25257,24226,428565,414343,48758,47136,30123,28809,15571,14861,5110,4838
5,3803462,1943542,1859920,1345726,1283994,305167,298022,36082,34617,123528,116087,7340,6959,125699,120241,1461149,1394375,374436,364499,59588,57183,170387,160688,16102,15266,1436635,1370831,932741,885129,269506,263444,14016,13569,115684,108625,4553,4318,100135,95746,1025200,973500,325326,317009,28923,27911,154711,145738,10953,10385,506907,489089,412985,398865,35661,34578,22066,21048,7844,7462,2787,2641,25564,24495,435949,420875,49110,47490,30665,29272,15676,14950,5149,4881
6,3889749,1990690,1899059,1379819,1312970,310376,302006,36120,34265,129530,121301,7456,7118,127389,121399,1496732,1424428,380005,368999,60079,57181,177397,166278,16474,15566,1474358,1402408,955207,904471,275810,268469,14880,14147,121896,114002,4779,4509,101786,96810,1049090,993821,332029,322553,30220,28794,161917,151457,11438,10681,516332,496651,424612,408499,34566,33537,21240,20118,7634,7299,2677,2609,25603,24589,447642,430607,47976,46446,29859,28387,15480,14821,5036,4885
7,4002123,2046385,1955738,1431320,1362817,310444,303753,35653,34557,132429,124391,7527,7215,129012,123005,1549752,1475776,380224,370803,60238,58115,181286,170396,16726,15850,1516083,1446189,992158,940939,275933,270350,15568,15000,124650,117108,4801,4605,102973,98187,1087164,1031578,332158,324469,31369,30146,165475,155495,11580,10948,530302,509549,439162,421878,34511,33403,20085,19557,7779,7283,2726,2610,26039,24818,462588,444198,48066,46334,28869,27969,15811,14901,5146,4902
8,4048323,2069034,1979289,1453640,1385439,314875,307156,34949,33885,129630,122250,7375,7203,128565,123356,1571716,1498726,384427,374469,59715,57592,177993,168204,16499,15904,1534907,1464397,1008947,957175,280610,273898,15946,15180,122013,115034,4670,4590,102721,98520,1103760,1048118,336729,328291,31942,30434,162445,153387,11411,10997,534127,514892,444693,428264,34265,33258,19003,18705,7617,7216,2705,2613,25844,24836,467956,450608,47698,46178,27773,27158,15548,14817,5088,4907
