US state/territory,n
Alabama,3977628
Alaska,557899
Arizona,5848310
Arkansas,2362124
California,30519524
Colorado,4662926
Connecticut,2894190
Delaware,819952
District of Columbia,552380
Florida,18229883
Georgia,8490546
Hawaii,1141525
Idaho,1497384
Illinois,9844167
Indiana,5274945
Iowa,2476882
Kansas,2246209
Kentucky,3509259
Louisiana,3506600
Maine,1146670
Maryland,4818337
Massachusetts,5659598
Michigan,7925350
Minnesota,4436981
Mississippi,2259864
Missouri,4821686
Montana,897161
Nebraska,1497381
Nevada,2508220
New Hampshire,1150004
New Jersey,7280551
New Mexico,1663024
New York,15611308
North Carolina,8498868
North Dakota,599192
Ohio,9207681
Oklahoma,3087217
Oregon,3401528
Pennsylvania,10332678
Rhode Island,892124
South Carolina,4229354
South Dakota,697420
Tennessee,5555761
Texas,22942176
Utah,2484582
Vermont,532828
Virginia,6834154
Washington,6164810
West Virginia,1417859
Wisconsin,4661826
Wyoming,454508
Puerto Rico,2707012
