ResponseId,Duration (in seconds),showdata,Q-demos-age,Q-demos-gender,Q-demos-hispanic,Q-demos-race,Q-demos-income,Q-demos-state,Q-share-browser-data,Q-perceptions-1,Q-perceptions-2,source
R_101oyAyq2wwTyyi,115,false,55 - 64 years,Female,No,Black or African American,Prefer not to say,Washington,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_1037uEjkfmk786A,47,false,35 - 44 years,Male,No,Asian,"$75,000 - $99,999",California,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_107DpGEXCf0M8mM,58,true,45 - 54 years,Male,No,White or Caucasian,"$75,000 - $99,999",Ohio,Consent to share,Strongly agree,Neutral ,PROLIFIC
R_107bZ8y5q4yjnxY,206,true,55 - 64 years,Female,No,Black or African American,"$75,000 - $99,999",North Carolina,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_108GtMMONtiVpcZ,177,true,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Oregon,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1090e2cXjsXnTzl,45,false,45 - 54 years,Female,No,White or Caucasian,"$50,000 - $74,999",Kansas,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_10A9vFWq6S6i7UF,54,true,18 - 24 years,Female,No,Black or African American,"$50,000 - $74,999",New York,Consent to share,Neutral ,Somewhat disagree ,PROLIFIC
R_10AYUsFsdpEaI4y,49,false,25 - 34 years,Male,Yes,White or Caucasian,"$50,000 - $74,999",California,Decline,Somewhat disagree ,Strongly agree,PROLIFIC
R_10Af4UoJLGqfcak,49,false,18 - 24 years,Male,No,Asian,"$50,000 - $74,999",Colorado,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10BDwu3I1LgPFg0,128,true,65 or older,Female,No,White or Caucasian,"$25,000 - $49,999",New Jersey,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_10D86x5gUbSERJ7,114,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Colorado,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_10FXQkmCw7qkU25,58,true,18 - 24 years,Female,No,White or Caucasian,"$75,000 - $99,999",Florida,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_10H64SBr7Dj9Nip,64,true,35 - 44 years,Female,No,Black or African American,"$150,000 or more",Florida,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10HtlEv7lrBO6fE,31,false,18 - 24 years,Male,No,Asian,"$25,000 - $49,999",Georgia,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_10Ieu7e8NfvGI9j,100,false,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Tennessee,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_10Ixn315Nci9yr9,86,false,18 - 24 years,Female,No,American Indian/Native American or Alaska Native,"Less than $25,000",North Carolina,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10K6VevDC6eoZOh,89,false,35 - 44 years,Male,Yes,Black or African American,"$50,000 - $74,999",Texas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_10NFVDGvMSIyhyG,41,false,25 - 34 years,Female,No,White or Caucasian,"$50,000 - $74,999",Texas,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10Nem5ZY6bG4hx7,38,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Minnesota,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10Ng888vGog3ygN,58,true,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",North Carolina,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_10OXgrO0F0F48qM,107,true,45 - 54 years,Male,No,White or Caucasian,"Less than $25,000",Arizona,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10OcIqLqSPPoMTu,67,false,35 - 44 years,Male,No,White or Caucasian,"Less than $25,000",New Jersey,Decline,Strongly agree,Strongly agree,PROLIFIC
R_10PqDJIehddoWwF,52,true,18 - 24 years,Female,No,Asian,"$150,000 or more",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10PxY3DlTiRInl3,108,true,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",Kentucky,Decline,Strongly agree,Strongly agree,PROLIFIC
R_10Q4758B9p1DETn,27,false,25 - 34 years,Male,No,Asian,"$50,000 - $74,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10SuZ3yxXwbWA4M,78,true,35 - 44 years,Male,No,Asian,"$25,000 - $49,999",Texas,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_10Uvmt5n5zGlS83,70,true,25 - 34 years,Female,No,White or Caucasian,"$100,000 - $149,999",Illinois,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10VxSgwFcsYDSeR,79,false,55 - 64 years,Female,No,White or Caucasian,"$25,000 - $49,999",Texas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_10WiCHzp8ntmQ3T,50,true,25 - 34 years,Other,Yes,"White or Caucasian,Asian","$50,000 - $74,999",Indiana,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_10YdlFckTm7tLn2,105,true,45 - 54 years,Male,No,White or Caucasian,"$25,000 - $49,999",Iowa,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10ZLLkaYbDQrYVJ,104,false,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",New Hampshire,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_10ZgXWJ63SKNPh2,46,true,25 - 34 years,Female,Yes,Other,"$100,000 - $149,999",Virginia,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_10bOtwsjlckDpo5,67,true,18 - 24 years,Male,No,White or Caucasian,"Less than $25,000",Tennessee,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10crJr171g3grks,170,false,25 - 34 years,Female,No,"White or Caucasian,Other","$25,000 - $49,999",Idaho,Decline,Somewhat disagree ,Strongly agree,PROLIFIC
R_10dbBfCIYBeotXD,98,false,55 - 64 years,Male,No,White or Caucasian,"$25,000 - $49,999",Pennsylvania,Decline,Somewhat disagree ,Strongly agree,PROLIFIC
R_10eMybPzXuwkI3P,101,false,25 - 34 years,Male,No,White or Caucasian,"Less than $25,000",Florida,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_10gOCoCT5f3YzrX,61,false,25 - 34 years,Male,No,White or Caucasian,"$100,000 - $149,999",California,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10i5EdHo98fvZ9z,446,false,25 - 34 years,Male,No,Black or African American,"$100,000 - $149,999",Georgia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10jy7Q3jsxPrleT,34,false,25 - 34 years,Female,Yes,White or Caucasian,"$25,000 - $49,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_10la1y3HrO4w5tj,41,false,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Arizona,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_10oCPGmxNyoZlVy,72,true,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",New York,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10picco3MF0a7Pg,173,false,45 - 54 years,Female,No,White or Caucasian,Prefer not to say,Florida,Decline,Neutral ,Strongly agree,PROLIFIC
R_10qPl8GZZnN7JlR,50,false,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Iowa,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_10r3tYWMbgOxB5l,48,false,25 - 34 years,Male,Yes,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_10tvgTHrFo9odIl,49,false,25 - 34 years,Female,No,Black or African American,"$100,000 - $149,999",Georgia,Consent to share,Neutral ,Somewhat disagree ,PROLIFIC
R_10uG5F2dvGND2A6,49,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",Maryland,Consent to share,Somewhat disagree ,Strongly agree,PROLIFIC
R_10uvTuqZIQtRuwt,301,false,55 - 64 years,Female,No,White or Caucasian,"Less than $25,000",Texas,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_10vcelML4X1VnU0,129,true,35 - 44 years,Male,Yes,"White or Caucasian,American Indian/Native American or Alaska Native,Other","$25,000 - $49,999",Iowa,Decline,Strongly agree,Somewhat agree ,PROLIFIC
R_10waqf0Do1tkSaS,80,true,25 - 34 years,Female,No,"White or Caucasian,American Indian/Native American or Alaska Native","$50,000 - $74,999",Minnesota,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_10wwtHKoD7Vg4Pr,62,true,35 - 44 years,Male,No,Asian,"$75,000 - $99,999",Massachusetts,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_111QfX3PgEtiIQz,168,false,65 or older,Female,No,White or Caucasian,"$100,000 - $149,999",New Jersey,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_111S4pKjUmfOW4a,65,false,18 - 24 years,Male,No,Asian,"$100,000 - $149,999",Washington,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_111m4cgShoWEPKM,55,true,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Florida,Decline,Somewhat disagree ,Neutral ,PROLIFIC
R_113oR8eD8UXhnLr,52,false,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",New Jersey,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_114Xq1FvG9RulJR,54,false,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",Arkansas,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_11AuYc0pQ9A83FD,97,false,18 - 24 years,Other,No,White or Caucasian,"$25,000 - $49,999",Indiana,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11BDVx7quREYcEK,85,true,35 - 44 years,Female,No,White or Caucasian,"$75,000 - $99,999",Pennsylvania,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_11EhfOlhSqic5Vv,53,false,25 - 34 years,Male,No,White or Caucasian,"$100,000 - $149,999",Georgia,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_11Fellamhpm7F1G,69,false,65 or older,Male,No,White or Caucasian,"$150,000 or more",Virginia,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_11FnyTwvTSXOjU5,61,false,45 - 54 years,Male,No,White or Caucasian,"$75,000 - $99,999",California,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11GSKhIqrkwJCLn,71,true,45 - 54 years,Female,No,White or Caucasian,"$25,000 - $49,999",Missouri,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_11GnyqF1vYr0zTL,76,true,65 or older,Male,No,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11NksWnWWfYLVnM,60,true,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Tennessee,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_11QTd9wMPcq8PxI,79,false,25 - 34 years,Female,No,White or Caucasian,"$50,000 - $74,999",Wisconsin,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_11RSFKe9DGVKbQK,58,false,45 - 54 years,Male,No,White or Caucasian,"$75,000 - $99,999",Texas,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_11RzpEtCIOYoOaT,53,false,25 - 34 years,Male,No,White or Caucasian,"$75,000 - $99,999",Georgia,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_11Sec5ukVZspICH,190,true,45 - 54 years,Female,No,"White or Caucasian,American Indian/Native American or Alaska Native","$50,000 - $74,999",Virginia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11TskTi4qtGixsN,81,false,65 or older,Male,Yes,White or Caucasian,"$100,000 - $149,999",North Carolina,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11XAJkiq00fKnS9,108,false,45 - 54 years,Female,No,White or Caucasian,"Less than $25,000",Massachusetts,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11YGdRhwfGWYTsd,60,false,35 - 44 years,Female,No,Black or African American,"$25,000 - $49,999",Ohio,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11YPd4dnXQMmPLe,39,false,45 - 54 years,Female,No,White or Caucasian,"$25,000 - $49,999",Texas,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_11YfGySSLWYYE02,49,false,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Washington,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_11YhcmVCWrKWYCh,50,false,18 - 24 years,Female,No,Asian,"$25,000 - $49,999",California,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_11Z1yG4Q5WQ77WZ,59,true,35 - 44 years,Female,No,White or Caucasian,"$150,000 or more",New Jersey,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_11ZdXjWu9nWwzwR,71,true,55 - 64 years,Male,No,White or Caucasian,"$75,000 - $99,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11ZwGSXIcMJOaMz,71,true,45 - 54 years,Male,No,White or Caucasian,"$150,000 or more",Pennsylvania,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_11aKmQqBj1jxrVB,41,false,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Maryland,Decline,Neutral ,Neutral ,PROLIFIC
R_11aNxZrw6lV72uq,168,false,35 - 44 years,Female,No,Black or African American,"Less than $25,000",South Carolina,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_11acfWlJSYaEk17,67,false,18 - 24 years,Female,No,Black or African American,"$150,000 or more",Maryland,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_11afzUqMsfF6QF6,103,true,25 - 34 years,Female,No,Black or African American,"$75,000 - $99,999",Arizona,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11aiEtDYGcVJFMl,41,false,25 - 34 years,Female,No,White or Caucasian,"$150,000 or more",New York,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_11azYaEK9ao68VL,321,true,25 - 34 years,Male,No,Black or African American,"Less than $25,000",Georgia,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_11b0k7kkj1QVe8s,54,false,18 - 24 years,Male,No,White or Caucasian,"$75,000 - $99,999",Indiana,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11bDPskfznAAHxO,170,false,25 - 34 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",Georgia,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_11bEYUz5J6zCZVL,77,false,25 - 34 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",Florida,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11c034V4oQ8WcD6,57,true,18 - 24 years,Female,No,White or Caucasian,"$100,000 - $149,999",Kentucky,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
